id,name,x,y,lon,lat,context
0,天安门,12957306.310788902,4852754.34409112,116.397463,39.909187,天安门是中国的象征，历史悠久，适合拍照和了解国家历史。
1,故宫,12957257.998129897,4854010.040113286,116.397029,39.917839,故宫是世界上最大的古代宫殿，拥有丰富的历史和文化遗产，值得细细品味。
2,国家博物馆,12957733.888953038,4852200.999973401,116.401304,39.905374,国家博物馆展示中国悠久的历史和文化，适合文化爱好者参观。
3,什刹海,12955932.405633532,4857501.917954403,116.385121,39.941893,什刹海是北京著名的水域，适合划船和享受周围的美丽风景。
4,天坛,12958794.207102844,4848797.007512663,116.410829,39.881913,天坛是古代祭天的场所，建筑宏伟，公园环境优美，适合散步和拍照。
5,红螺寺,12982608.451809777,4921916.206662781,116.624756,40.384097,红螺寺是著名的佛教寺庙，环境宁静，适合静心和祈福。
6,景山公园,12957204.7874133,4855176.475941761,116.396551,39.925875,景山公园提供俯瞰故宫的绝佳视角，是拍照和散步的好去处。
7,南锣鼓巷,12957855.227198005,4856817.933543819,116.402394,39.937182,南锣鼓巷是北京的文化街区，充满特色小店和美食，适合闲逛。
8,慕田峪长城,12975962.232931456,4928870.814169257,116.565052,40.431668,慕田峪长城风景优美，适合徒步和体验长城的壮丽。
9,恭王府,12956065.321105536,4856823.740897388,116.386315,39.937222,恭王府是保存完好的清代王府，园林景观优美，适合游览。
10,国子监,12959067.607772231,4858211.069747013,116.413285,39.946777,国子监是古代最高学府，文化底蕴深厚，适合了解中国古代教育。
11,雁栖湖,12987580.64818555,4923444.684869555,116.669422,40.394555,雁栖湖风景如画，适合休闲和水上活动，是放松的好去处。
12,北海公园,12956676.131151522,4855597.448324184,116.391802,39.928775,北海公园是北京最大的古典园林，适合散步和享受自然。
13,雍和宫,12959514.110249804,4858278.154294295,116.417296,39.947239,雍和宫是著名的藏传佛教寺庙，建筑精美，适合参观和祈福。
14,古北水镇,13055250.876082852,4961478.65855966,117.277314,40.654264,古北水镇是一个古色古香的水乡，适合体验传统文化和美食。
15,北京动物园,12950542.31588932,4857532.699086082,116.336701,39.942105,北京动物园是家庭游的好去处，拥有丰富的动物展览。
16,东郊民巷,12958472.71641343,4851778.5751940515,116.407941,39.902463,东郊民巷是历史悠久的街道，适合体验北京的传统文化。
