name,lat,lon,category
NTUC Fairprice,1.3856119,103.9025772,supermarket
Giant,1.3794345,103.88795,supermarket
NTUC FairPrice,1.3725281,103.8939238,supermarket
NTUC Fairprice,1.3824983,103.893624,supermarket
NTUC FairPrice,1.3923199,103.904213,supermarket
NTUC FairPrice,1.3943753,103.912923,supermarket
NTUC FairPrice,1.3575602,103.8841371,supermarket
Giant,1.3815806,103.8970373,supermarket
Giant Hypermarket,1.3312172,103.9483149,supermarket
NTUC FairPrice Finest,1.3014954,103.839658,supermarket
NTUC FairPrice,1.3123256,103.9253617,supermarket
NTUC FairPrice,1.3373298,103.9218002,supermarket
NTUC FairPrice Finest,1.301342,103.9071774,supermarket
Cold Storage Fresh,1.3001235,103.8560555,supermarket
NTUC FairPrice,1.2925348,103.8113068,supermarket
NTUC FairPrice,1.3128156,103.7658379,supermarket
NTUC FairPrice,1.2812832,103.8100855,supermarket
Giant,1.441726,103.8250677,supermarket
NTUC FairPrice,1.4495608,103.8186291,supermarket
NTUC FairPrice,1.4479385,103.8195511,supermarket
Shop N Save,1.4309761,103.7942332,supermarket
Cold Storage,1.3176941,103.7859561,supermarket
Prime,1.3588218,103.7504894,supermarket
Giant,1.3416023,103.6969558,supermarket
Sheng Siong,1.3255871,103.7251859,supermarket
Prime Supermarket,1.3417008,103.6912824,supermarket
Sheng Siong,1.3221125,103.738207,supermarket
NTUC FairPrice,1.3205044,103.7426546,supermarket
Cold Storage,1.3215309,103.9555771,supermarket
Giant,1.3586036,103.7492177,supermarket
NTUC FairPrice,1.3257807,103.9316518,supermarket
Sheng Siong,1.3244941,103.9310939,supermarket
NTUC FairPrice,1.2932215,103.8268848,supermarket
NTUC FairPrice,1.3153813,103.7643947,supermarket
NTUC FairPrice,1.350271,103.8485161,supermarket
NTUC Fairprice,1.3238372,103.8557907,supermarket
Cold Storage Fresh,1.3101598,103.7953924,supermarket
NTUC FairPrice,1.2909214,103.8026888,supermarket
NTUC FairPrice,1.2864697,103.8265783,supermarket
Cold Storage,1.3874746,103.8693009,supermarket
Cold Storage,1.3916794,103.8948873,supermarket
NTUC Fairprice,1.375571,103.8795488,supermarket
Sheng Siong,1.3677466,103.8364503,supermarket
Sheng Shiong,1.3702891,103.8434139,supermarket
NTUC FairPrice Xtra,1.3693018,103.8488529,supermarket
NTUC FairPrice,1.3543366,103.8302338,supermarket
ACE Marketplace,1.2777764,103.8310198,supermarket
NTUC FairPrice,1.2973182,103.8383052,supermarket
Cold Storage,1.3307365,103.7955242,supermarket
Cold Storage,1.3010098,103.8450553,supermarket
NTUC FairPrice,1.4363491,103.7857696,supermarket
NTUC FairPrice,1.4353183,103.7865131,supermarket
NTUC FairPrice Finest,1.3004599,103.8371761,supermarket
NTUC FairPrice Xtra,1.3396665,103.7055473,supermarket
NTUC FairPrice Xtra,1.3510423,103.8722775,supermarket
Giant,1.3340708,103.7472706,supermarket
Giant,1.3779605,103.73864,supermarket
Sheng Siong,1.3805261,103.7600191,supermarket
Cold Storage,1.3020336,103.8763916,supermarket
NTUC FairPrice,1.2744573,103.8436539,supermarket
NTUC FairPrice,1.2760543,103.843136,supermarket
NTUC FairPrice,1.3382406,103.7783181,supermarket
NTUC FairPrice,1.3464969,103.7121589,supermarket
FairPrice Finest @ Scotts,1.3059351,103.8328831,supermarket
NTUC FairPrice Finest,1.3345959,103.9627854,supermarket
NTUC FairPrice,1.2829291,103.8175344,supermarket
NTUC FairPrice,1.3239226,103.8098403,supermarket
NTUC Fairprice Finest,1.380491,103.7641782,supermarket
NTUC FairPrice,1.3430246,103.9528291,supermarket
NTUC FairPrice,1.3521442,103.9444897,supermarket
NTUC Fairprice,1.3724307,103.9496345,supermarket
NTUC Fairprice,1.3760422,103.9553166,supermarket
NTUC FairPrice,1.3186022,103.8944483,supermarket
NTUC Fairprice,1.320599,103.8442909,supermarket
NTUC Fairprice,1.3849878,103.7450943,supermarket
NTUC Fairprice,1.3971564,103.7466885,supermarket
Cold Storage,1.2643809,103.820063,supermarket
CS Fresh,1.2938703,103.8319081,supermarket
Cold Storage,1.2994693,103.787506,supermarket
Cold Storage,1.3021406,103.8353196,supermarket
Cold Storage,1.3037215,103.7657354,supermarket
Cold Storage Fresh,1.3070599,103.7879849,supermarket
Cold Storage,1.3168348,103.8434897,supermarket
Grindelwald,1.3220913,103.7702616,supermarket
